s, T, E, p, H
0, 84.45438437184362, -1250.666675028682, 0.0, -1023.2783123705553
10, 84.14964732535512, -1249.8462020747208, 0.0, -1023.2783256300418
20, 83.24373950510707, -1247.4071203775907, 0.0, -1023.2783463844602
30, 81.73258342071591, -1243.3384468537774, 0.0, -1023.2783699485051
40, 79.61459751098, -1237.6359154107097, 0.0, -1023.2783884882467
50, 76.89490165533527, -1230.3133379439525, 0.02005947601481333, -1023.2784289310616
60, 73.58375790752787, -1221.3982519441297, 0.2974470139364784, -1023.2783988035853
70, 69.71450780995896, -1210.9804504861336, 0.5630008413239185, -1023.2783210782877
80, 65.35572788354945, -1199.2445573734644, 0.8098189820530522, -1023.2781813906805
90, 60.61218939869306, -1186.4726531618353, 1.031533516200668, -1023.2779699372181
100, 55.62902510091508, -1173.0554987097262, 1.2224643353088378, -1023.2776863670184
110, 50.59045578828865, -1159.489111349067, 1.3777554496251523, -1023.277344566447
120, 45.71063032958483, -1146.3501045749176, 1.4934911388023113, -1023.2769750503303
130, 41.215511400248815, -1134.2469139356729, 1.5667895582544988, -1023.276622421187
140, 37.317409906938025, -1123.7512239167615, 1.5958718018563636, -1023.2763367869253
150, 34.18694033545611, -1115.3224467036844, 1.5801048733648904, -1023.2761610668889
160, 31.929256019103327, -1109.243725104383, 1.5200175197227017, -1023.2761190283084
170, 30.570962027442913, -1105.5866902704192, 1.4172884096269578, -1023.2762092692508
180, 30.060934824160373, -1104.2136708331363, 1.274706679836692, -1023.276407475174
190, 30.283889464013527, -1104.8142304636158, 1.096105402804162, -1023.2766751151272
200, 31.08206581449309, -1106.9635674929316, 0.8862690438080205, -1023.2769702113578
210, 32.27919592193803, -1110.1870543738205, 0.6508164772247401, -1023.2772561057577
220, 33.70187441349579, -1114.0177809809406, 0.39606163658148263, -1023.277506235068
230, 35.19553443401844, -1118.039569805724, 0.12885440866044764, -1023.2777050741955
240, 36.63612106480444, -1121.9183705009136, 0.0, -1023.2778127011916
250, 37.94043554776744, -1125.4302462052835, 0.0, -1023.2778999190525
260, 39.049307457042296, -1128.4158560868693, 0.0, -1023.2779387172304
270, 39.93140378211818, -1130.7908458733389, 0.0, -1023.2779370742126
280, 40.58041487334528, -1132.5382366481533, 0.0, -1023.2779044265635
290, 41.009735499117, -1133.6941030205894, 0.0, -1023.2778507733468
300, 41.246677521169175, -1134.3319900835272, 0.0, -1023.2777856584305
310, 41.326835538490705, -1134.5477421113433, 0.0, -1023.2777170340894
320, 41.28925976074475, -1134.446505017333, 0.0, -1023.2776504671135
330, 41.172886500776244, -1134.133115762129, 0.0, -1023.2775892319789
340, 41.01420629344353, -1133.7058249181173, 0.0, -1023.2775353253982
350, 40.84567430687513, -1133.2520180515342, 0.0, -1023.2774907207313
360, 40.69424317709552, -1132.844266039023, 0.0, -1023.277457939284
370, 40.57974228241794, -1132.5359608087017, 0.0, -1023.2774394978284
380, 40.513396286617926, -1132.3573252824474, 0.0, -1023.2774365845058
390, 40.49716613178118, -1132.3136377913997, 0.0, -1023.2774478115468
400, 40.524549755879434, -1132.3873875597449, 0.0, -1023.2774688150248
410, 40.58303253870736, -1132.5448731035215, 0.0, -1023.2774929750042
420, 40.65778394019284, -1132.746156765724, 0.0, -1023.2775129737912
430, 40.735747866022116, -1132.9560795853206, 0.0, -1023.277522600928
440, 40.80913564902954, -1133.153667436981, 0.0, -1023.277518250108
450, 40.877490999577276, -1133.3376916574305, 0.0, -1023.2774997905286
460, 40.947837739186575, -1133.5270669403055, 0.0, -1023.27747069781
470, 41.032836693091284, -1133.7558882181713, 0.0, -1023.2774373922247
480, 41.1473240583749, -1134.0641089671053, 0.0, -1023.2774077793744
490, 41.30404031093444, -1134.4860394993557, 0.0, -1023.2773892045834
500, 41.50966708509538, -1135.0396744284315, 0.0, -1023.2773863818372
510, 41.76229193652962, -1135.7198653559628, 0.0, -1023.2774000543731
520, 42.05102461559261, -1136.4972876398604, 0.0, -1023.2774269238541
530, 42.357812139239954, -1137.323328536246, 0.0, -1023.2774608200707
540, 42.660835235804974, -1138.1392337763211, 0.0, -1023.2774945540305
550, 42.93849040232525, -1138.8868308404121, 0.0, -1023.2775217415756
560, 43.17295845680872, -1139.5181383704569, 0.0, -1023.2775381030068
570, 43.35262884273302, -1140.0018940720436, 0.0, -1023.2775420707155
580, 43.47302398939838, -1140.326043436609, 0.0, -1023.2775347265933
590, 43.536244115522535, -1140.4962442446465, 0.0, -1023.277519138249
600, 43.54929166422432, -1140.5313540844593, 0.0, -1023.2774992360352
610, 43.52188715840739, -1140.4575484275565, 0.0, -1023.2774785667741
620, 43.46445402731709, -1140.3028940204392, 0.0, -1023.2774594191296
630, 43.386754559155506, -1140.0936761271043, 0.0, -1023.2774426818517
640, 43.297276404165224, -1139.8527472478645, 0.0, -1023.2774283662338
650, 43.203118364999284, -1139.599220342692, 0.0, -1023.2774163320333
660, 43.11000554374902, -1139.3485100520595, 0.0, -1023.2774067258479
670, 43.022199010158786, -1139.1120894423636, 0.0, -1023.2773999394517
680, 42.942307060610375, -1138.896981460902, 0.0, -1023.2773962386323
690, 42.87117802008102, -1138.7054699167518, 0.0, -1023.2773953683649
700, 42.80807235759203, -1138.5355627231183, 0.0, -1023.2773963846432
710, 42.751197790931165, -1138.382432780059, 0.0, -1023.2773977998443
720, 42.69852743272551, -1138.2406211767411, 0.0, -1023.2773979757736
730, 42.648688717560105, -1138.106431072669, 0.0, -1023.2773956219614
740, 42.60165332536264, -1137.979785732382, 0.0, -1023.2773902530425
750, 42.55898118816593, -1137.8648857916087, 0.0, -1023.2773824813432
760, 42.52346506149999, -1137.769252304352, 0.0, -1023.277374034167
770, 42.498176169768314, -1137.701156863396, 0.0, -1023.2773674168649
780, 42.48510406012031, -1137.665958820636, 0.0, -1023.2773652450056
790, 42.4820093571833, -1137.6576422372596, 0.14121314523944759, -1023.277380963605
800, 42.481282139263584, -1137.6556941561614, 0.31866460725560514, -1023.2773908731226
810, 42.47578912275901, -1137.640919434103, 0.48832228697439606, -1023.2774057684217
