s, T, E, p, H
0, 76.70426379715303, -1250.6721605431844, 0.0, -1044.1505325251778
10, 76.44203549184728, -1249.9661302638197, 0.0, -1044.1505362241503
20, 75.6220478031501, -1247.758368820469, 0.0, -1044.1505424333557
30, 74.24633700077715, -1244.0543546395181, 0.0, -1044.1505470451457
40, 72.32113952811703, -1238.870872430778, 0.0, -1044.1505435196946
50, 69.86038271579778, -1232.2454119274182, 0.0, -1044.1505230880957
60, 66.89031173083808, -1224.24862621905, 0.0, -1044.1504753024724
70, 63.454906873846895, -1214.9989186273997, 0.0, -1044.1503891639793
80, 59.62142832453481, -1204.677373504969, 0.0, -1044.1502550268585
90, 55.48501393547925, -1193.540138225255, 0.0, -1044.1500673048133
100, 51.17084882000994, -1181.9242678393764, 0.0, -1044.1498276424288
110, 46.83222077619782, -1170.2424922065686, 0.0, -1044.1495476999025
120, 42.64304165150351, -1158.9630813122048, 0.0, -1044.1492502480307
130, 38.78437301907055, -1148.5735645617472, 0.0, -1044.1489672702808
140, 35.42611894263382, -1139.5314342536878, 0.0, -1044.1487345677829
150, 32.706898312479034, -1132.2099451707195, 0.0, -1044.1485838782685
160, 30.716388251480822, -1126.8505673997274, 0.0, -1044.1485350159105
170, 29.484373223875735, -1123.5334968237437, 0.0, -1044.1485909808516
180, 28.97912944151043, -1122.1733051499662, 0.0, -1044.148737876466
190, 29.11520366983838, -1122.539888362179, 0.0, -1044.1489493933593
200, 29.768190264343538, -1124.2982600161738, 0.0, -1044.1491938208446
210, 30.792715060861315, -1127.0569787041688, 0.0, -1044.1494409657034
220, 32.03982551087294, -1130.4149748151206, 0.0, -1044.149667016626
230, 33.37104252835876, -1133.999386369487, 0.0, -1044.1498566244327
240, 34.66781289865803, -1137.4910087092424, 0.0, -1044.1500025483795
250, 35.836432611140474, -1140.637548404251, 0.0, -1044.150103784712
260, 36.80937015998235, -1143.2571837712953, 0.0, -1044.1501631777523
270, 37.54424082921133, -1145.235801097012, 0.0, -1044.1501853188101
280, 38.02156174982359, -1146.5209489575186, 0.0, -1044.1501752398235
290, 38.24201325550615, -1147.1144642400648, 0.0, -1044.1501380704099
300, 38.22343281826095, -1147.064378909996, 0.0, -1044.1500794527976
310, 37.997377869292755, -1146.4556662323605, 0.0, -1044.150006161962
320, 37.60499664973114, -1145.3991233983818, 0.0, -1044.1499262187797
330, 37.092217253924304, -1144.018417435117, 0.0, -1044.149848011961
340, 36.50477636338542, -1142.4366986429775, 0.0, -1044.149778571144
350, 35.88403229052732, -1140.7653257297159, 0.0, -1044.1497218294085
360, 35.26449008104113, -1139.097201605472, 0.0, -1044.1496779316738
370, 34.67340640136139, -1137.505710446906, 0.0, -1044.1496441156246
380, 34.13201533097783, -1136.048020104414, 0.0, -1044.1496167466762
390, 33.65730673048646, -1134.7698723616618, 0.0, -1044.149593428231
400, 33.26323806332593, -1133.7088468511108, 0.0, -1044.1495741598897
410, 32.96074945009936, -1132.8944013732082, 0.0, -1044.1495611237826
420, 32.756670708442485, -1132.3449278591734, 0.0, -1044.1495573769346
430, 32.652191380762616, -1132.0636313228015, 0.0, -1044.149565161581
440, 32.64177482873409, -1132.0356048335057, 0.0, -1044.1495846136288
450, 32.713192993413564, -1132.2279227541926, 0.0, -1044.1496134110062
460, 32.848865676909064, -1132.59324736468, 0.0, -1044.149647461543
470, 33.02814236513716, -1133.0759738732622, 0.0, -1044.1496822436723
480, 33.22982322037564, -1133.6190193244133, 0.0, -1044.149714092945
490, 33.43424266213014, -1134.1694331069411, 0.0, -1044.1497407937154
500, 33.62459556710378, -1134.6819674069052, 0.0, -1044.1497613182123
510, 33.78762249864607, -1135.1209214763128, 0.0, -1044.1497751560582
520, 33.913983360899245, -1135.4611472601323, 0.0, -1044.1497818999128
530, 33.99852851242285, -1135.688779487773, 0.0, -1044.1497813797853
540, 34.04040778803619, -1135.801529581598, 0.0, -1044.149774036778
550, 34.04283863348113, -1135.808061449227, 0.0, -1044.149760998897
560, 34.01249994175648, -1135.726358997015, 0.0, -1044.1497436538323
570, 33.958766259344365, -1135.5816636600773, 0.0, -1044.1497230327682
580, 33.8930898427611, -1135.4048103542873, 0.0, -1044.1496995380437
590, 33.8286519032978, -1135.2312979640212, 0.009748505861606728, -1044.149682433506
600, 33.77835895294073, -1135.09585813627, 0.1445352512539014, -1044.1496533570141
610, 33.75685124894041, -1135.0379205132467, 0.27210307275741286, -1044.1496239365497
620, 33.780095613378435, -1135.1004786709113, 0.38899156761538367, -1044.1495980376267
630, 33.86170430431088, -1135.3201874418444, 0.4920337393798461, -1044.1495803047455
640, 34.01035151388364, -1135.7204054573588, 0.5784354408773242, -1044.1495746273179
650, 34.22764869883943, -1136.3054730813742, 0.645844654160698, -1044.149582618671
660, 34.5072825827101, -1137.058390844001, 0.6924091151741051, -1044.149602927009
670, 34.83577861813439, -1137.9428755481438, 0.7168210627257292, -1044.149631765534
680, 35.19461259269299, -1138.9090470747828, 0.7183481809148607, -1044.1496643457126
690, 35.56291494008727, -1139.9007111165008, 0.6968501100288512, -1044.1496964152122
700, 35.91994588544031, -1140.8620242501229, 0.6527802201216776, -1044.1497251503279
710, 36.24684519731284, -1141.7422050061252, 0.5871726694003124, -1044.1497491230723
720, 36.52763980512618, -1142.4982461089298, 0.5016151002517024, -1044.149767592016
730, 36.7498507105441, -1143.0965477054253, 0.3982076524529496, -1044.149779658328
740, 36.90511996123827, -1143.5146049951434, 0.27950928862615193, -1044.149783806707
750, 36.99008509100202, -1143.7433628066005, 0.14847272416767973, -1044.149778104183
760, 37.00738990712062, -1143.7899378811205, 0.008369525934496266, -1044.1497609995927
770, 36.968084111092836, -1143.684068335706, 0.0, -1044.149719951635
780, 36.89042981572031, -1143.4749507787783, 0.0, -1044.1496819257404
790, 36.79565649695933, -1143.2197392755816, 0.03261497952041768, -1044.1496418969084
800, 36.70616883705707, -1142.9787574788604, 0.13385665131129304, -1044.1496002552144
810, 36.644644212165595, -1142.8130714932372, 0.22735383264472156, -1044.149565630634
820, 36.63016629397298, -1142.774067240414, 0.31065194442999383, -1044.1495423038696
830, 36.67530849317228, -1142.8955997033163, 0.3815772803532441, -1044.1495321039595
840, 36.785049471433574, -1143.1910730163502, 0.4382915616930769, -1044.1495344174837
850, 36.957052101378586, -1143.6541922532579, 0.47933808930734445, -1044.1495468934222
860, 37.1829402752016, -1144.2624021047984, 0.5036784509912893, -1044.1495663902347
870, 37.45006388571153, -1144.98163978222, 0.5107189462650183, -1044.149589773775
880, 37.7433083581453, -1145.7712075444936, 0.5003261115042404, -1044.1496143886889
890, 38.04667346641017, -1146.5880237225047, 0.47283096153000864, -1044.1496382146033
900, 38.34451631377393, -1147.3899693162346, 0.4290218040767549, -1044.1496598123772
910, 38.62247117527745, -1148.138364475793, 0.3701257255996816, -1044.149678184629
920, 38.86811113585184, -1148.7997497962326, 0.29777908568701433, -1044.1496926496197
930, 39.071415632981044, -1149.3471450798868, 0.2139875887822382, -1044.1497027730234
940, 39.22508191802155, -1149.760887901251, 0.12107672313716404, -1044.149708341893
950, 39.32469860110212, -1150.0291008288957, 0.021633566561516816, -1044.1497093273442
960, 39.36939185278744, -1150.1494284514213, 0.0, -1044.1497030513024
970, 39.36193896489816, -1150.1293541456712, 0.0, -1044.1496951990207
980, 39.30669590183526, -1149.9806035989197, 0.0, -1044.1496832849825
990, 39.21062548117414, -1149.7219237837592, 0.0, -1044.1496673132267
1000, 39.08326837260362, -1149.3790027204861, 0.0, -1044.1496476233533
1010, 38.93645198000921, -1148.983686105164, 0.0, -1044.149625336108
1020, 38.783548668868576, -1148.5719804749199, 0.0, -1044.1496026969114
1030, 38.63811880670291, -1148.180399626478, 0.0, -1044.1495830265587
1040, 38.51199089590896, -1147.8407948434199, 0.0, -1044.1495700756388
1050, 38.413146055773765, -1147.5746578385458, 0.0, -1044.1495668721384
1060, 38.34403089998679, -1147.388577095441, 0.0, -1044.1495745390805
1070, 38.300925151594036, -1147.2725346544328, 0.0, -1044.149591739275
1080, 38.27465393132, -1147.2018243599284, 0.0, -1044.1496151290853
1090, 38.252405851786776, -1147.1419482111085, 0.0, -1044.1496405995238
1100, 38.2200044479891, -1147.0547333923143, 0.0, -1044.1496646163705
1110, 38.163920102467145, -1146.9037500332126, 0.0, -1044.149684992526
1120, 38.07259652356196, -1146.6578826316463, 0.0, -1044.1497008477472
1130, 37.93708680814228, -1146.2930419894376, 0.0, -1044.149711983723
1140, 37.75130445596137, -1145.7928403113444, 0.0, -1044.1497181419359
1150, 37.51226399082983, -1145.1492386271086, 0.0, -1044.1497185676387
1160, 37.22053214659637, -1144.3637616527, 0.0, -1044.1497120799181
1170, 36.88084796719456, -1143.4491679012779, 0.0, -1044.1496976004846
1180, 36.502629822353065, -1142.4308155633341, 0.0, -1044.149674924438
1190, 36.09996230482081, -1141.3466279476586, 0.0, -1044.1496454396668
1200, 35.69069105035317, -1140.244656689206, 0.0, -1044.149612477593
1210, 35.29446107078497, -1139.1777997727595, 0.0, -1044.1495810073352
1220, 34.92989208247472, -1138.1961951845299, 0.0, -1044.1495565459916
1230, 34.611498728028124, -1137.3389271457106, 0.0, -1044.1495435104187
1240, 34.347246354741216, -1136.6274436277906, 0.0, -1044.1495436524312
1250, 34.13757302991875, -1136.0629225027221, 0.0, -1044.1495553740476
1260, 33.97623609513148, -1135.6285514726549, 0.0, -1044.149574360679
1270, 33.85264723321975, -1135.295816768777, 0.0, -1044.1495952521668
1280, 33.75481227142392, -1135.0324202532843, 0.0, -1044.1496135012117
1290, 33.67188349460643, -1134.809152550309, 0.0, -1044.1496265540907
1300, 33.595675613394306, -1134.603974823369, 0.0, -1044.1496339748417
1310, 33.52104654075268, -1134.403043273737, 0.0, -1044.149636725553
1320, 33.445494872376024, -1134.1996243688739, 0.0, -1044.1496361546938
1330, 33.36849334238916, -1133.9922994619865, 0.0, -1044.1496332472043
1340, 33.290953848580095, -1133.7835242315573, 0.0, -1044.1496284514863
1350, 33.21492659110849, -1133.5788190169367, 0.0, -1044.1496220659726
1360, 33.143348926174184, -1133.3860932487808, 0.0, -1044.1496148659924
1370, 33.07953780470637, -1133.2142792686457, 0.0, -1044.149608501742
1380, 33.02624025580464, -1133.07077561144, 0.0, -1044.1496052971013
1390, 32.98436541933721, -1132.9580322496558, 0.0, -1044.1496074200156
1400, 32.95184149250912, -1132.8704719148716, 0.0, -1044.1496158067803
1410, 32.92316052436277, -1132.7932637584715, 0.0, -1044.1496294362562
1420, 32.88998536064742, -1132.703957578912, 0.0, -1044.1496453944903
1430, 32.84277720019814, -1132.576866778354, 0.0, -1044.1496597334526
1440, 32.77298378876562, -1132.3889611801123, 0.0, -1044.1496687078882
1450, 32.67512410493228, -1132.1254809862362, 0.0, -1044.1496698411524
1460, 32.54818899673239, -1131.7837084301066, 0.0, -1044.1496624477445
1470, 32.39606181058046, -1131.374100207247, 0.0, -1044.1496475459678
1480, 32.2269905743541, -1130.9188658342882, 0.0, -1044.1496273322743
1490, 32.05238549422043, -1130.4487292824467, 0.0, -1044.149604482388
1500, 31.885317718073008, -1129.9988863584167, 0.0, -1044.1495815215683
1510, 31.739066025798248, -1129.6050913518075, 0.0, -1044.1495604213073
1520, 31.625941728879127, -1129.3004930193035, 0.0, -1044.1495424708003
1530, 31.556476734748507, -1129.1134485905752, 0.0, -1044.149528370869
1540, 31.53893971528021, -1129.0662212819634, 0.0, -1044.1495184349544
1550, 31.579084210271155, -1129.1743022708415, 0.0, -1044.149512779739
1560, 31.68003260481469, -1129.4460984238594, 0.0, -1044.1495114373522
1570, 31.842236104157898, -1129.8828245662557, 0.0, -1044.149514389977
1580, 32.06348864931532, -1130.4785409490291, 0.0, -1044.1495215700666
1590, 32.33898991657503, -1131.2203228781063, 0.0, -1044.149532867123
1600, 32.661450284663395, -1132.08854334766, 0.0, -1044.149548143221
1610, 33.021228145399945, -1133.0572427265627, 0.0, -1044.149567218762
1620, 33.40650686184851, -1134.0946051203994, 0.0, -1044.149589785284
1630, 33.80355707658043, -1135.1636644574464, 0.0, -1044.1496152421782
1640, 34.1971683213887, -1136.223466394222, 0.0, -1044.149642518982
1650, 34.571339284215, -1137.2309267255232, 0.0, -1044.1496699831314
1660, 34.91026964046421, -1138.1435018990533, 0.0, -1044.1496955082819
1670, 35.199611046604666, -1138.9225574676022, 0.0, -1044.149716701282
1680, 35.42785035272434, -1139.537092614113, 0.0, -1044.1497312104239
1690, 35.587652816190314, -1139.9673569698284, 0.0, -1044.149737021405
1700, 35.6769954813598, -1140.2079024194977, 0.0, -1044.1497327056654
1710, 35.69994213845519, -1140.2696698860973, 0.0, -1044.149717674835
1720, 35.666907443985906, -1140.1807008155313, 0.0, -1044.149692537046
1730, 35.5942109678194, -1139.9849369436615, 0.0, -1044.1496595654658
1740, 35.50268010190974, -1139.7384590720744, 0.0, -1044.1496230584885
1750, 35.41514293374023, -1139.502736563733, 0.0, -1044.1495891232134
1760, 35.3529752950812, -1139.3353292570268, 0.0, -1044.1495644535385
1770, 35.332392090862974, -1139.279900001937, 0.0, -1044.1495542408138
1780, 35.36160248176466, -1139.358553168611, 0.0, -1044.1495601826086
1790, 35.43987100371989, -1139.5693061225988, 0.0, -1044.1495798373433
1800, 35.55881838021626, -1139.8895927498497, 0.0, -1044.1496077902202
1810, 35.70535631557372, -1140.2841674028923, 0.0, -1044.149637844589
1820, 35.8651066514259, -1140.7143126421406, 0.0, -1044.1496648895754
1830, 36.02529731497382, -1141.1456371179922, 0.0, -1044.1496856152642
1840, 36.176707839076975, -1141.5533134454176, 0.0, -1044.1496981911732
1850, 36.31477985188832, -1141.9250674651773, 0.0, -1044.1497016007593
1860, 36.44020575936717, -1142.262762904405, 0.0, -1044.1496953096544
1870, 36.559155790847825, -1142.5830129763644, 0.0, -1044.1496795588541
1880, 36.68299554040476, -1142.9164206114656, 0.0, -1044.1496560986582
1890, 36.82713316002986, -1143.3044752177852, 0.0, -1044.1496288123944
1900, 37.008710112012245, -1143.7933350272785, 0.0, -1044.1496035732923
1910, 37.243260921564875, -1144.4248324026316, 0.0, -1044.1495869669734
1920, 37.54105616302421, -1145.226625430695, 0.0, -1044.1495841751223
1930, 37.904262341126206, -1146.2045491010288, 0.0, -1044.149597003287
1940, 38.32595739503306, -1147.3399638949622, 0.0, -1044.1496231662795
1950, 38.79136828024168, -1148.5930895424651, 0.008923372510006397, -1044.1496579300112
1960, 39.27994093111964, -1149.9085778657623, 0.10244954189893185, -1044.1496937051784
1970, 39.77005134865636, -1151.2282022988463, 0.19646051319885244, -1044.14972524567
1980, 40.24263172083976, -1152.5006207584656, 0.28827613278326475, -1044.149749408008
1990, 40.68249688778943, -1153.684947447575, 0.3752260151568236, -1044.1497655270152
2000, 41.07889889117423, -1154.7522453950803, 0.4547312813840952, -1044.1497748645272
