s, T, E, p, H
0, 92.51184322726215, -1250.6519600998536, 0.0, -1001.5693729210439
10, 92.12521613443559, -1249.610990766565, 0.0, -1001.5693738375653
20, 91.09177523967013, -1246.8285221983285, 0.0, -1001.5693828720312
30, 89.41301125462854, -1242.308562753544, 0.0, -1001.569394731132
40, 87.09189356095558, -1236.05915838821, 0.12230281244654014, -1001.5694604889509
50, 84.1231066018265, -1228.0658592149653, 0.4938804130537815, -1001.5694420759435
60, 80.53037680145265, -1218.3925934194922, 0.8481691343924492, -1001.569385704189
70, 76.36793581992801, -1207.1853605553167, 1.1759216644609372, -1001.5692754363098
80, 71.72273219277274, -1194.6782503411657, 1.468646559128561, -1001.5690972760567
90, 66.72101462266791, -1181.2111725476427, 1.7188066213854944, -1001.5688439369867
100, 61.53088558773278, -1167.2367381932934, 1.919993859695796, -1001.5685206014581
110, 56.35780100807841, -1153.3081473753978, 2.0670776912372077, -1001.5681496292071
120, 51.430682986875844, -1140.0417992364821, 2.1563233370019614, -1001.5677711352981
130, 46.97861029734829, -1128.0545263785677, 2.1854778108296307, -1001.5674368695753
140, 43.20161296183684, -1117.88494848599, 2.1538215126359845, -1001.567197683022
150, 40.24240358024812, -1109.9173460067773, 2.0621841613345566, -1001.567088911174
160, 38.166868964210714, -1104.3291248739188, 1.9129246015417676, -1001.5671201999193
170, 36.95874738291203, -1101.0764841574833, 1.7098748441160787, -1001.5672743538356
180, 36.52914724762186, -1099.9200520876716, 1.4582495091031231, -1001.5675148722846
190, 36.7369328477201, -1100.479785182331, 1.1645225901431548, -1001.5677977058155
200, 37.41365681663351, -1102.3021081898485, 0.8362741185501568, -1001.5680820304717
210, 38.38710626921344, -1104.9233173550076, 0.48200985098566107, -1001.5683369515266
220, 39.49962055941329, -1107.918902099838, 0.11095753060035497, -1001.5685437208514
230, 40.626013478233695, -1110.9517799216687, 0.0, -1001.5686761923332
240, 41.68393531488049, -1113.800270447993, 0.0, -1001.5687756487961
250, 42.604609226973594, -1116.2791836911206, 0.0, -1001.5688296240478
260, 43.34539528700965, -1118.273720869056, 0.0, -1001.5688447824997
270, 43.88744529523283, -1119.7331410172744, 0.0, -1001.5688278065777
280, 44.2319558584288, -1120.6606725966992, 0.0, -1001.5687853652312
290, 44.396197432046954, -1121.1028254835446, 0.0018024132924535697, -1001.5687276696042
300, 44.40834360804562, -1121.13545948213, 0.08151627917252903, -1001.5686588180837
310, 44.30258945484421, -1120.850655787151, 0.16010541366855074, -1001.5685918353503
320, 44.113565770648506, -1120.3416656350873, 0.2354099974299902, -1001.5685366115624
330, 43.87016335451895, -1119.6862821035108, 0.3053751408843676, -1001.5684994812699
340, 43.59186608464281, -1118.936965156431, 0.3681096747475398, -1001.5684812354953
350, 43.28811764104065, -1118.1191367108154, 0.4219397712375957, -1001.5684772493719
360, 42.96065163840006, -1117.2374566027981, 0.46545611071192167, -1001.5684797055043
370, 42.607614745105295, -1116.286926896295, 0.49755349955694134, -1001.5684806519837
380, 42.2278528687146, -1115.2644345925166, 0.5174620353595745, -1001.5684744146747
390, 41.824038101553626, -1114.1771717784573, 0.5247691033661542, -1001.5684586323102
400, 41.404024494637184, -1113.046285789943, 0.5194316740564775, -1001.5684340796022
410, 40.980476051149786, -1111.905876772414, 0.5017785562849565, -1001.5684038332564
420, 40.56919327532406, -1110.7984909494119, 0.47250244570099437, -1001.5683722071983
430, 40.18671943159201, -1109.76867449521, 0.4326417969433206, -1001.5683436288144
440, 39.84785331413019, -1108.8562757427487, 0.3835527446316177, -1001.568321565652
450, 39.56366562868498, -1108.0911036163748, 0.3268715081492858, -1001.5683077310782
460, 39.34045954555092, -1107.4901287532734, 0.2644679453642626, -1001.5683018544503
470, 39.179812623258, -1107.0575968165106, 0.19839117739413625, -1001.5683021171458
480, 39.0794836868879, -1106.7874710914273, 0.13080849461213792, -1001.5683060335028
490, 39.0347277956292, -1106.666973867555, 0.06393907215460738, -1001.5683113614912
500, 39.039535430339264, -1106.679923448444, 0.0, -1001.5683166743813
510, 39.08776251511763, -1106.809777345701, 0.0, -1001.5683220394976
520, 39.17298754200631, -1107.0392460271967, 0.0, -1001.5683274495972
530, 39.288206970346245, -1107.349473519859, 0.0, -1001.5683335446199
540, 39.42598540095797, -1107.720441023136, 0.0, -1001.5683408901806
550, 39.5782698140428, -1108.1304664782099, 0.0, -1001.5683497000884
560, 39.73637794378128, -1108.55617320345, 0.0, -1001.5683597724956
570, 39.8911949847085, -1108.9730196379044, 0.0, -1001.5683706132759
580, 40.033515297922726, -1109.3562195755603, 0.0, -1001.5683816468213
590, 40.154418947402164, -1109.6817561546718, 0.0, -1001.5683924039283
600, 40.2455840316924, -1109.9272228821374, 0.0, -1001.5684026118474
610, 40.29948704401151, -1110.0723630538914, 0.0, -1001.5684121571131
620, 40.30951174526339, -1110.0993627234477, 0.0, -1001.5684209200308
630, 40.27005530478588, -1109.9931362132302, 0.0, -1001.5684285084125
640, 40.17677205080548, -1109.7419821053636, 0.0, -1001.5684339648928
650, 40.027104951937545, -1109.339014032834, 0.0, -1001.5684355760393
660, 39.821196228392324, -1108.7846125025776, 0.0, -1001.5684309294049
670, 39.563133314897165, -1108.0897799827694, 0.0, -1001.5684173204077
680, 39.26229960816541, -1107.2797784687039, 0.0, -1001.568392511695
690, 38.93431927997308, -1106.3966746838296, 0.032688598554386904, -1001.5683560816589
700, 38.60078825766311, -1105.4986156351279, 0.10161181416285506, -1001.5683092986654
710, 38.2890634347382, -1104.6592625784665, 0.17395393610095425, -1001.56825662424
720, 38.029316842058165, -1103.9598591004935, 0.24779002672529613, -1001.5682052622625
730, 37.850338421265164, -1103.4779287813928, 0.32118310166564973, -1001.5681636024417
740, 37.77484139312893, -1103.2746329058737, 0.3922369046117459, -1001.5681389453576
750, 37.815415348833525, -1103.3838722309686, 0.45914654421386364, -1001.5681353291552
760, 37.972285453082776, -1103.8062527755421, 0.5202458374060857, -1001.568152530244
770, 38.233416380827485, -1104.5093662693034, 0.5740502786143288, -1001.5681866689083
780, 38.57665846932222, -1105.4335701990792, 0.6192946384393503, -1001.5682318699373
790, 38.97306690060852, -1106.500926193005, 0.6549642936455483, -1001.5682819471306
800, 39.39048221643762, -1107.6248413620444, 0.6803195067594634, -1001.5683314232191
810, 39.79678357135337, -1108.7188278349145, 0.6949120110835542, -1001.5683758760598
820, 40.16257712169317, -1109.7037411221115, 0.6985934169936628, -1001.5684119765799
830, 40.46326140392224, -1110.5133410360152, 0.6915151385508455, -1001.5684375016388
840, 40.6804455432585, -1111.098110158894, 0.6741197453829557, -1001.5684513604032
850, 40.80270135966501, -1111.4272788019564, 0.6471238722935304, -1001.56845355314
860, 40.82567051016697, -1111.4891133269093, 0.6114930657407806, -1001.5684450185154
870, 40.751609059162185, -1111.2896896946181, 0.5684092079727984, -1001.5684273993675
880, 40.58849861534436, -1110.8504999933566, 0.5192314292933844, -1001.5684027814589
890, 40.34887170625753, -1110.205289577582, 0.4654516861803629, -1001.5683734407861
900, 40.04849705400167, -1109.3965170265506, 0.408646433149806, -1001.5683416184743
910, 39.70505555302693, -1108.4717891240277, 0.3504260306973138, -1001.5683093508359
920, 39.33690696138208, -1107.4805401732315, 0.2923836888455509, -1001.5682783941279
930, 38.96199607913189, -1106.4710869883033, 0.23604582392992743, -1001.5682502650054
940, 38.59688662984643, -1105.4880277944192, 0.18282568660900786, -1001.5682263567554
950, 38.25587263390993, -1104.5698497385029, 0.133981990469486, -1001.5682080240584
960, 37.950134244425485, -1103.746655960982, 0.09058403291630794, -1001.568196515921
970, 37.68698306422921, -1103.0381333913292, 0.053484466554747534, -1001.5681927098759
980, 37.469341951373664, -1102.452151774111, 0.023300476244760625, -1001.5681967305544
990, 37.29565965514525, -1101.9845335223688, 0.00040368050308908174, -1001.5682076404695
1000, 37.160434301788776, -1101.6204631199662, 0.0, -1001.568223388458
1010, 37.05526556484046, -1101.3373204768397, 0.0, -1001.5682412594407
1020, 36.97041297257098, -1101.108876921318, 0.0, -1001.5682582174489
1030, 36.89642718524279, -1100.909688455782, 0.0, -1001.568272045147
1040, 36.82537207227585, -1100.7183865524269, 0.0, -1001.5682817701485
1050, 36.751388377204044, -1100.5191958644987, 0.0, -1001.5682877421795
1060, 36.67053213398044, -1100.3014987749343, 0.017152112075477254, -1001.56829123612
1070, 36.58021912270885, -1100.0583382526834, 0.0374794947424461, -1001.5682930779371
1080, 36.478758475978445, -1099.7851620033778, 0.05969236555895823, -1001.5682935323143
1090, 36.36523920936877, -1099.4795165602475, 0.08267455843645588, -1001.5682919033746
1100, 36.239879948865465, -1099.1419896208804, 0.10531503829333448, -1001.5682872513571
1110, 36.10450051315435, -1098.77748066001, 0.12653865488594152, -1001.5682792983728
1120, 35.96265696315639, -1098.395565063801, 0.14533485344428076, -1001.5682689499203
1130, 35.819173012746596, -1098.0092322826881, 0.16078380479489862, -1001.5682580962487
1140, 35.67916579209418, -1097.6322619937953, 0.17207948820522165, -1001.5682488485293
1150, 35.5469558486826, -1097.2762884801205, 0.17854932962835923, -1001.5682426748934
1160, 35.42530786881504, -1096.9487558006224, 0.1796700692332258, -1001.5682398823101
1170, 35.315274778876486, -1096.6524980586953, 0.17507960711045614, -1001.5682396330571
1180, 35.21664170906779, -1096.386935199986, 0.16458465580401402, -1001.5682403968236
1190, 35.12873676447441, -1096.1502565905885, 0.14816411270906474, -1001.568240576447
1200, 35.05127979824802, -1095.9417068280093, 0.12596815334151118, -1001.5682390480144
1210, 34.98498080727245, -1095.7631971882154, 0.0983131362155603, -1001.5682354634828
1220, 34.93172325016771, -1095.6197992307827, 0.06567249927609867, -1001.5682302831012
1230, 34.894311899356154, -1095.5190657147546, 0.02866391396132698, -1001.5682245844521
1240, 34.8758993211982, -1095.469485587581, 0.0, -1001.5682192192141
1250, 34.87945834349117, -1095.479065165544, 0.0, -1001.5682163431945
1260, 34.90677511946764, -1095.552614035271, 0.0, -1001.5682164326116
1270, 34.95799980002369, -1095.6905366557817, 0.0, -1001.5682196742059
1280, 35.03161107940963, -1095.8887365282367, 0.0, -1001.568225593591
1290, 35.12466932085691, -1096.1392978925694, 0.0, -1001.5682332263215
1300, 35.233338709289214, -1096.4318918736046, 0.0, -1001.568241399166
1310, 35.35352838180246, -1096.7555029658176, 0.0, -1001.5682490095174
1320, 35.48150147253608, -1097.1000690339442, 0.0, -1001.5682552092292
