s, T, E, p, H
0, 86.19849713080939, -1250.6562173950535, 0.0, -1018.5719357801771
10, 85.85110263008387, -1249.7208811814742, 0.0, -1018.5719384161312
20, 84.8989846918345, -1247.1573697727542, 0.0, -1018.5719474290713
30, 83.34334628264719, -1242.9689173311465, 0.0, -1018.5719580658958
40, 81.18845105850848, -1237.1669956532457, 0.0, -1018.5719624852752
50, 78.44585240289022, -1229.7827006436107, 0.0, -1018.571949799973
60, 75.14019229307209, -1220.8823658776657, 0.0, -1018.5719065401067
70, 71.31624679674049, -1210.5865334688926, 0.0, -1018.5718179434766
80, 67.04631883796948, -1199.089865632273, 0.03615200080157825, -1018.5716749401704
90, 62.43357095574904, -1186.6701029921696, 0.20806980175482417, -1018.5714592080727
100, 57.62106427415062, -1173.712435877184, 0.37196270114425445, -1018.5711775828898
110, 52.78901827787825, -1160.7021112534892, 0.5236672538870405, -1018.5708468813987
120, 48.14244570238988, -1148.1911463388765, 0.6593474210144807, -1018.5704998319338
130, 43.891993219881904, -1136.7467389591518, 0.7755927993791827, -1018.570180734213
140, 40.2288244825925, -1126.8836315743797, 0.8695055902738916, -1018.5699353844684
150, 37.29906013532792, -1118.9952800538663, 0.9387741762731651, -1018.569798583104
160, 35.18447600079017, -1113.3018753081656, 0.9817315003815235, -1018.5697847445981
170, 33.894483000182525, -1109.8287475760758, 0.9973967946424386, -1018.5698857670643
180, 33.370585344435646, -1108.4183749792362, 0.985499582233828, -1018.5700761744639
190, 33.500643454743184, -1108.7687944125207, 0.9464852740269241, -1018.570321949232
200, 34.13821210329853, -1110.4856766436849, 0.8815020946236152, -1018.5705888482798
210, 35.122369021647025, -1113.1357190588758, 0.7923695018247467, -1018.5708478102325
220, 36.29491840022441, -1116.2929673353512, 0.6815287059072991, -1018.571077237851
230, 37.51352255954987, -1119.5741718022894, 0.5519763499633024, -1018.5712631220549
240, 38.66052573845653, -1122.6625440491891, 0.40718287817456605, -1018.5713981299392
250, 39.64786133841213, -1125.3209682242618, 0.25099759097291496, -1018.5714804422674
260, 40.41863206943685, -1127.3962544470169, 0.08754285505298018, -1018.5715127179823
270, 40.94648288033077, -1128.8174368814525, 0.0, -1018.5714885151348
280, 41.234648589198564, -1129.5932602977928, 0.0, -1018.571443050291
290, 41.30446849488123, -1129.7811776677938, 0.0, -1018.5713745134358
300, 41.191304935422146, -1129.4764110980668, 0.0, -1018.5712940377389
310, 40.93872893623424, -1128.7962829872292, 0.0, -1018.5712116501547
320, 40.59260644876386, -1127.864292261909, 0.0, -1018.5711349549993
330, 40.19650718437736, -1126.7977522331805, 0.0, -1018.5710684296755
340, 39.78884284587455, -1125.7000856125708, 0.0, -1018.5710135806244
350, 39.40167196431319, -1124.6576075090036, 0.0, -1018.5709698454082
360, 39.06069833983912, -1123.7395224831218, 0.0, -1018.5709358450054
370, 38.78578980254689, -1122.9993224278185, 0.0, -1018.5709105318491
380, 38.59139214888399, -1122.4759017478186, 0.0, -1018.5708938704774
390, 38.48646575718977, -1122.1933866813695, 0.0, -1018.5708868180815
400, 38.47395150814717, -1122.1596965915983, 0.0, -1018.5708905930026
410, 38.55014989236764, -1122.364871156488, 0.0, -1018.5709055802818
420, 38.70458235685802, -1122.7806962399889, 0.0, -1018.5709305190901
430, 38.92075391948428, -1123.3627571805612, 0.0, -1018.5709624975849
440, 39.17781941190565, -1124.0549258222763, 0.0, -1018.570997724885
450, 39.45275398966253, -1124.7952054700725, 0.0, -1018.5710325181454
460, 39.722508954502395, -1125.521535914086, 0.0, -1018.5710639046255
470, 39.965820092638594, -1126.1766623068752, 0.0, -1018.5710896566513
480, 40.16462262117135, -1126.711944538149, 0.0, -1018.5711080080025
490, 40.30519583092389, -1127.0904388750132, 0.0, -1018.5711174120005
500, 40.37914679139557, -1127.289546530849, 0.0, -1018.571116543824
510, 40.384219331403315, -1127.303192053981, 0.0, -1018.5711045573375
520, 40.32478179241763, -1127.1431369903307, 0.0, -1018.5710815011538
530, 40.21176532801194, -1126.8388141889427, 0.0, -1018.5710487491903
540, 40.06182458049844, -1126.4350682296767, 0.0, -1018.5710092561595
550, 39.89559713916711, -1125.9874689975547, 0.0, -1018.5709674361757
560, 39.73514884162809, -1125.5554326978506, 0.0, -1018.5709285506975
570, 39.60095771626778, -1125.1941002860267, 0.0, -1018.5708976924386
580, 39.509003392471115, -1124.9464997643895, 0.0, -1018.5708786703646
590, 39.46857786767923, -1124.8376509832951, 0.0, -1018.5708731892408
600, 39.481273177485086, -1124.8718397513599, 0.0, -1018.5708805973719
610, 39.541294235786616, -1125.0334604790205, 0.0, -1018.5708982268192
620, 39.636920651569646, -1125.2909527780616, 0.0, -1018.5709221389495
630, 39.752712391219085, -1125.6027409687895, 0.0, -1018.5709480181756
640, 39.87196351385472, -1125.9238414372048, 0.0, -1018.5709719939618
650, 39.97894066954037, -1126.2118902534733, 0.0, -1018.570991237176
660, 40.0605642864514, -1126.431669945761, 0.0, -1018.5710042383479
670, 40.10736467900044, -1126.5576837061658, 0.0, -1018.5710107498378
680, 40.11373064688623, -1126.574824405567, 0.0, -1018.5710114626645
690, 40.077615785910666, -1126.4775834093743, 0.0, -1018.571007562757
700, 39.99993828340721, -1126.2684341615388, 0.0, -1018.5710003297619
710, 39.88389299213522, -1125.955979740086, 0.0, -1018.5709908923413
720, 39.734315381420345, -1125.55324026633, 0.0, -1018.5709801607786
730, 39.5571442363881, -1125.0762062979657, 0.0, -1018.570968870145
740, 39.358969686434385, -1124.5426219768208, 0.0, -1018.5709576342774
750, 39.14664363701429, -1123.9709361387647, 0.0, -1018.570946944722
760, 38.92695492038831, -1123.3794276217307, 0.0, -1018.5709371158804
