s, T, E, p, H
0, 100.68193591403823, -669.3025089473546, 0.0, -512.4274675512937
10, 100.3958010100173, -668.8566657198531, 0.0, -512.4274582711199
20, 99.4866419022687, -667.4400788192584, 0.0, -512.4274549052859
30, 97.96185651854992, -665.0642721403576, 0.0, -512.427454452392
40, 95.83005314688482, -661.7426538600873, 0.0, -512.4274523005975
50, 93.10524272855132, -657.4970486620127, 0.0, -512.4274423355887
60, 89.81239228287176, -652.3663509564651, 0.0, -512.4274172307156
70, 85.99400453886652, -646.4167774376643, 0.0, -512.4273691155429
80, 81.71702583551175, -639.7526316995085, 0.0, -512.4272908195518
90, 77.0788532369602, -632.5256659784661, 0.0, -512.4271777786275
100, 72.21062578898774, -624.9402117099678, 0.0, -512.4270304025013
110, 67.27562029187375, -617.250682098462, 0.0, -512.4268562311862
120, 62.460855107329856, -609.7484906119249, 0.0, -512.4266707478166
130, 57.96132644910592, -602.7374874609798, 0.0, -512.4264956874666
140, 53.958635831607175, -596.5006539607302, 0.0, -512.4263545056073
150, 50.59833132262098, -591.2647912220759, 0.0, -512.4262662300171
160, 47.97168240391289, -587.172117888516, 0.0, -512.4262402429192
170, 46.10669961341287, -584.2662757352654, 0.0, -512.4262744001164
180, 44.97015508961884, -582.495480001241, 0.0, -512.4263571022287
190, 44.478747488343316, -581.729920235665, 0.0, -512.4264718053901
200, 44.515267372722974, -581.7869525666748, 0.0, -512.4266015915508
210, 44.94545991028206, -582.457376875278, 0.0, -512.4267321525698
220, 45.632651662592515, -583.5282282759977, 0.0, -512.4268529042207
230, 46.448913184184924, -584.8001697105956, 0.0, -512.4269568554874
240, 47.28272623362704, -586.0994378107799, 0.0, -512.4270399980098
250, 48.04364025062269, -587.2850976392444, 0.0, -512.427100673743
260, 48.66448197884363, -588.2524850262598, 0.0, -512.4271390429741
270, 49.101621953686994, -588.9336213136135, 0.0, -512.4271566070249
280, 49.333761937368635, -589.2953235538321, 0.0, -512.4271557351695
290, 49.35970206804132, -589.3357250099737, 0.0, -512.4271392252068
300, 49.19550954947299, -589.0798633307645, 0.0, -512.427110013992
310, 48.87136947011338, -588.5747737300482, 0.0, -512.4270711744277
320, 48.42814268570895, -587.8841260431491, 0.0, -512.4270262209789
330, 47.91339654796577, -587.0820404879887, 0.0, -512.4269794916895
340, 47.37663761826877, -586.2456596263162, 0.0, -512.4269361373512
350, 46.86385425841017, -585.4466442467506, 0.0, -512.4269013303652
360, 46.41217255322579, -584.7428452150455, 0.0, -512.4268788555505
370, 46.04594868300058, -584.1722136784358, 0.0, -512.4268698867355
380, 45.77542035616403, -583.7506996326017, 0.0, -512.4268727901537
390, 45.59810389413041, -583.4744296966338, 0.0, -512.4268840665919
400, 45.502085471027, -583.3248366825069, 0.0, -512.4268997579629
410, 45.46990119988645, -583.2747063383023, 0.0, -512.4269165312292
420, 45.48195441799224, -583.2935023458098, 0.0, -512.4269321182757
430, 45.51899328189886, -583.3512266538709, 0.0, -512.4269452465122
440, 45.56365814350147, -583.420830171417, 0.0, -512.4269553265738
450, 45.60136183149451, -583.4795839840343, 0.0, -512.4269620803369
460, 45.620840548920235, -583.5099373757786, 0.0, -512.4269651954922
470, 45.614690183167184, -583.5003532129798, 0.0, -512.4269640713325
480, 45.5801063832715, -583.4464610193832, 0.0, -512.4269577609482
490, 45.51984953001233, -583.3525608019241, 0.0, -512.4269452529737
500, 45.44313678059865, -583.2330136734942, 0.0, -512.4269261772239
510, 45.36579091786949, -583.1124747541512, 0.0, -512.4269017802458
520, 45.30877440435624, -583.0236097508746, 0.0, -512.426875632087
530, 45.29454035295664, -583.0014089788733, 0.0, -512.4268532914227
540, 45.341609369624145, -583.0747356389688, 0.0, -512.4268405399232
550, 45.45905017338985, -583.2577234177011, 0.0, -512.426840866288
560, 45.64316094452745, -583.5446039289665, 0.0, -512.4268537822746
570, 45.87786938814169, -583.9103304129702, 0.0, -512.426875172572
580, 46.13855041196757, -584.3165282138121, 0.0, -512.4268993531651
590, 46.39741819923722, -584.7198985775332, 0.0, -512.4269213458467
600, 46.62840281153136, -585.0798182391411, 0.0, -512.4269381084238
610, 46.81030863954445, -585.3632606763426, 0.0, -512.4269485273525
620, 46.9281661333186, -585.5469015953655, 0.0, -512.4269527388885
630, 46.97333815054051, -585.6172839045105, 0.0, -512.4269513986995
640, 46.94303646385418, -585.5700639043323, 0.0, -512.4269452140895
650, 46.83969170024875, -585.4090294146205, 0.0, -512.4269347841704
