s, T, E, p, H
0, 102.25802085861758, -3261.9989228925706, 0.0, -2609.3800531312045
10, 101.75813568488068, -3258.808595326109, 0.0, -2609.3800327343456
20, 100.49931833884074, -3250.774733220667, 0.0, -2609.3800436367183
30, 98.48624988334576, -3237.927196058384, 0.0, -2609.380070402881
40, 95.72546143242197, -3220.307640038101, 0.0, -2609.3800871394697
50, 92.23118697070193, -3198.0068709870116, 0.0, -2609.380057245034
60, 88.03356874465233, -3171.2172129771902, 0.0, -2609.3799345633197
70, 83.18883211065567, -3140.2974493790152, 0.0, -2609.379667742242
80, 77.79029447539455, -3105.8430923022133, 0.0, -2609.3792097366872
90, 71.97791858917316, -3068.747367911255, 0.0, -2609.3785332416646
100, 65.94285708560932, -3030.2302389007027, 0.0, -2609.3776495517773
110, 59.9228140109098, -2991.80881628741, 0.0, -2609.376623444663
120, 54.18512160920408, -2955.1893543839474, 0.0, -2609.375573464278
130, 48.99781542938901, -2922.0826281284712, 0.0, -2609.3746502328763
140, 44.59388137676155, -2893.9757148615554, 0.0, -2609.373996404553
150, 41.13782706580139, -2871.918607558953, 0.0, -2609.3737041988434
160, 38.70416117512565, -2856.386843068299, 0.0, -2609.3737901157533
170, 37.273497682904434, -2847.2566415357114, 0.0, -2609.3741974436007
180, 36.74579050245201, -2843.8893967253334, 0.0, -2609.3748220754446
190, 36.96492688195952, -2845.288667434708, 0.0, -2609.3755468798918
200, 37.746846645883785, -2850.2796650061528, 0.0, -2609.3762699643908
210, 38.904575598224376, -2857.669033332794, 0.0, -2609.376919498878
220, 40.26651758022984, -2866.361592176118, 0.0, -2609.3774556576845
230, 41.68729169040283, -2875.4294950662593, 0.0, -2609.377864514773
240, 43.05232079335277, -2884.1415046758234, 0.0, -2609.3781491869827
250, 44.27811143727939, -2891.9647713273425, 0.0, -2609.3783218857106
260, 45.31004506126098, -2898.5507308428355, 0.0, -2609.378398458263
270, 46.118985140592066, -2903.713448066168, 0.0, -2609.378395380098
280, 46.6974651740171, -2907.4052868926965, 0.0, -2609.3783283549055
290, 47.05584826537355, -2909.6923998433963, 0.0, -2609.378211745921
300, 47.2186373446337, -2910.731179709344, 0.0, -2609.3780586849043
310, 47.22094263987642, -2910.7457157409717, 0.0, -2609.377882137869
320, 47.10490166472853, -2910.004947489396, 0.0, -2609.377696672965
330, 46.91571552848211, -2908.7973691789643, 0.0, -2609.3775194189493
340, 46.697168366523115, -2907.402432552831, 0.0, -2609.3773682642113
350, 46.48709659926503, -2906.061626617228, 0.0, -2609.3772571529903
360, 46.313873875948566, -2904.9560394562072, 0.0, -2609.3771912699935
370, 46.19496958129479, -2904.197157180148, 0.0, -2609.377165714758
380, 46.13787032634141, -2903.832748057809, 0.0, -2609.377168605472
390, 46.14268089698386, -2903.8634671764416, 0.0, -2609.377186277419
400, 46.205229800926816, -2904.2626807268534, 0.0, -2609.377207718954
410, 46.319632839422155, -2904.992829534385, 0.0, -2609.3772271825655
420, 46.47966489303174, -2906.014185041199, 0.0, -2609.3772453206793
430, 46.678656855757126, -2907.2841912572817, 0.0, -2609.377268911291
440, 46.90800844239264, -2908.747970779524, 0.0, -2609.377308259499
450, 47.15496070402029, -2910.324103305892, 0.0, -2609.377371695978
460, 47.400896885738106, -2911.893775108458, 0.0, -2609.377459111927
470, 47.6215990874203, -2913.302413931141, 0.0, -2609.3775588272974
480, 47.79012388117241, -2914.3780444088306, 0.0, -2609.377650589278
490, 47.88161374726304, -2914.962002358887, 0.0, -2609.3777128947545
500, 47.878395075518114, -2914.9414778460805, 0.0, -2609.377730202518
510, 47.77369745009792, -2914.2732561500356, 0.0, -2609.377697127715
520, 47.5729802148974, -2912.9921850195465, 0.0, -2609.377619449654
530, 47.29259823609181, -2911.202658078769, 0.0, -2609.3775127281724
540, 46.95613960788832, -2909.05523817369, 0.0, -2609.3773987049785
550, 46.58931193017076, -2906.7140153102678, 0.0, -2609.3772994269634
560, 46.214762423500105, -2904.32354135651, 0.0, -2609.377230388738
570, 45.848399235945244, -2901.985347612361, 0.0, -2609.3771958166194
580, 45.49827887047158, -2899.750844439747, 0.0, -2609.377188826088
590, 45.166046206907765, -2897.630516216189, 0.0, -2609.377196040007
600, 44.84992222999817, -2895.612995097947, 0.0, -2609.37720343232
610, 44.54792631979305, -2893.6856300137615, 0.0, -2609.377200406737
620, 44.26036817073428, -2891.8503918911956, 0.0, -2609.3771813961157
630, 43.99118518487907, -2890.1324090543626, 0.0, -2609.3771459096497
640, 43.74807239938552, -2888.580795901364, 0.0, -2609.377098002694
650, 43.5415190394914, -2887.262503225301, 0.0, -2609.3770453937436
660, 43.38297470003507, -2886.250613082384, 0.0, -2609.3769979087842
670, 43.28253026860237, -2885.6095358351836, 0.0, -2609.376965058542
